City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
Plea0ant Prairie,Keno0ha,WI,21392.00,0.05,0.21,0.18,0.50,0.88,0.01,0.00,0.02,0.00,0.05,0.10,0.85,1113.00,0.06,0.81,275500.00,1688.00,743.00,1303.00,8178.00,2.57,0.86,0.10,0.95,0.92,0.94,0.39,0.06,0.05,0.65,0.62,53366.00,264783.00,58029.00,587314.00,28281.00,25.90,91272.00,42579.00,0.07,428.00,170.00,33.00,46.00,215.00,0.00,239.00,636.70,591.70,33.38,33.33,"""5563300"""
Portage,Porter,IN,38192.00,0.06,0.23,0.14,0.51,0.80,0.09,0.00,0.01,0.00,0.06,0.21,0.67,1834.00,0.04,0.70,164600.00,1325.00,493.00,969.00,14686.00,2.54,0.87,0.10,0.92,0.86,0.91,0.16,0.10,0.07,0.64,0.56,97523.00,123127.00,81071.00,567089.00,15436.00,29.00,63550.00,29202.00,0.14,609.00,314.00,122.00,85.00,410.00,0.00,456.00,1484.40,1437.00,25.55,25.63,"""1861092"""
Pro0pect Height0,Cook,IL,15691.00,0.08,0.23,0.18,0.48,0.65,0.01,0.00,0.09,0.00,0.04,0.33,0.56,482.00,0.38,0.66,310500.00,2176.00,919.00,1246.00,6329.00,2.52,0.89,0.59,0.94,0.89,0.85,0.40,0.06,0.15,0.68,0.62,30474.00,15278.00,15632.00,283800.00,17583.00,26.20,77763.00,42767.00,0.09,404.00,286.00,65.00,0.00,345.00,0.00,336.00,3773.00,3836.40,4.26,4.24,"""1762016"""
Ren00elaer,Ja0per,IN,6130.00,0.06,0.24,0.17,0.52,0.91,0.02,0.00,0.00,0.00,0.04,0.07,0.88,246.00,0.02,0.61,114300.00,951.00,325.00,812.00,2427.00,2.37,0.84,0.03,0.91,0.85,0.85,0.16,0.15,0.06,0.66,0.65,18668.00,65853.00,0.00,145453.00,24678.00,19.50,51372.00,26035.00,0.12,242.00,137.00,20.00,0.00,191.00,0.00,192.00,852.10,1541.80,6.73,3.80,"""1863792"""
Richton Park,Cook,IL,12494.00,0.05,0.20,0.14,0.53,0.08,0.88,0.00,0.00,0.00,0.03,0.02,0.08,504.00,0.03,0.54,165700.00,1703.00,794.00,1072.00,4991.00,2.55,0.92,0.03,0.87,0.85,0.95,0.30,0.07,0.06,0.64,0.63,12556.00,27170.00,862.00,99296.00,7349.00,39.40,65132.00,30041.00,0.11,127.00,34.00,0.00,0.00,48.00,0.00,107.00,2908.70,3426.70,4.39,3.98,"""1763706"""
River Fore0t,Cook,IL,11597.00,0.07,0.24,0.18,0.53,0.84,0.04,0.00,0.05,0.00,0.05,0.06,0.81,332.00,0.11,0.89,601300.00,3459.00,1500.00,1375.00,4428.00,2.40,0.86,0.13,0.95,0.94,0.98,0.80,0.05,0.04,0.64,0.53,23036.00,48890.00,,179601.00,16336.00,31.90,129263.00,81053.00,0.01,235.00,125.00,44.00,0.00,172.00,0.00,158.00,4724.60,4513.50,2.48,2.48,"""1764304"""
River Grove,Cook,IL,10531.00,0.06,0.26,0.14,0.53,0.74,0.00,0.01,0.02,0.00,0.03,0.33,0.64,234.00,0.27,0.62,216800.00,1769.00,698.00,1168.00,3762.00,2.80,0.91,0.47,0.90,0.87,0.91,0.21,0.04,0.07,0.65,0.59,0.00,0.00,19581.00,69703.00,6922.00,32.30,65625.00,27538.00,0.11,307.00,228.00,0.00,29.00,262.00,0.00,279.00,4438.30,4276.00,2.39,2.39,"""1764343"""
River0ale,Cook,IL,10397.00,0.11,0.30,0.10,0.51,0.06,0.88,0.00,0.00,0.00,0.05,0.09,0.03,388.00,0.02,0.45,83000.00,1210.00,630.00,1170.00,3951.00,2.75,0.84,0.03,0.94,0.88,0.90,0.16,0.09,0.09,0.63,0.63,2120.00,12628.00,8304.00,28028.00,2104.00,36.50,38233.00,19150.00,0.30,98.00,67.00,0.00,0.00,77.00,0.00,77.00,2982.70,3790.70,3.58,3.57,"""1764278"""
River0i0e,Cook,IL,9061.00,0.04,0.26,0.18,0.52,0.80,0.01,0.01,0.03,0.00,0.12,0.24,0.72,254.00,0.09,0.80,422300.00,2941.00,1227.00,1249.00,3465.00,2.70,0.91,0.23,0.97,0.95,0.99,0.65,0.03,0.02,0.68,0.65,6070.00,15883.00,235.00,12928.00,1482.00,33.50,128808.00,57487.00,0.03,155.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.70,4485.90,1.98,1.98,"""1764421"""
Rolling Mea0ow0,Cook,IL,23781.00,0.08,0.22,0.15,0.49,0.67,0.03,0.00,0.09,0.00,0.09,0.29,0.56,808.00,0.26,0.72,254600.00,1932.00,829.00,1403.00,9101.00,2.63,0.93,0.42,0.94,0.90,0.85,0.36,0.06,0.14,0.71,0.65,91000.00,120455.00,90670.00,298744.00,12483.00,26.10,81601.00,39717.00,0.06,906.00,626.00,79.00,0.00,608.00,0.00,720.00,4309.10,4278.90,5.62,5.63,"""1765338"""
